track_id,mfcc0_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc0_std,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,mfcc14_std,mfcc15_std,mfcc16_std,mfcc17_std,mfcc18_std,mfcc19_std,chroma0_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma0_std,chroma1_std,chroma2_std,chroma3_std,chroma4_std,chroma5_std,chroma6_std,chroma7_std,chroma8_std,chroma9_std,chroma10_std,chroma11_std,contrast0_mean,contrast1_mean,contrast2_mean,contrast3_mean,contrast4_mean,contrast5_mean,contrast6_mean,contrast0_std,contrast1_std,contrast2_std,contrast3_std,contrast4_std,contrast5_std,contrast6_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std,tempo,genre,split
197,-296.291,126.969,-11.0644,17.6869,-0.589845,-4.79965,-7.69592,-6.30262,-10.0735,-7.50636,-7.79564,-7.61734,-5.71117,-7.77107,-12.3709,-6.60634,-7.40404,-7.60187,-5.10948,-3.70372,93.3957,24.9854,29.352,17.8342,16.1962,10.4202,13.1844,10.223,8.65198,7.0182,6.97904,7.76734,8.48109,8.88729,9.724,7.74537,8.52557,9.18328,7.79411,8.16089,0.476699,0.293427,0.380503,0.268873,0.367646,0.335043,0.142641,0.128916,0.136582,0.27133,0.144947,0.338482,0.392154,0.242293,0.384491,0.236087,0.331782,0.341312,0.14856,0.205777,0.142708,0.310435,0.113698,0.293921,23.346,19.3903,23.7388,25.5116,25.5496,25.0545,51.0923,6.90913,4.392,4.22501,3.57313,3.54912,4.23921,4.84749,1144.79,453.727,1369.44,330.852,2189.48,994.672,0.0541482,0.0289997,0.0456214,0.0376551,117.454,Folk,training
200,-122.239,102.799,-30.5191,40.5984,-10.0962,1.3887,-12.1956,-3.10509,-10.7337,-6.6996,-16.5624,-8.26812,-7.17776,-11.3902,-8.26689,-4.74205,-6.97081,-8.23504,-12.8312,-9.33876,53.5721,27.4682,17.1663,15.3394,9.43444,9.36986,8.82876,7.94658,7.58636,6.6057,9.44966,8.55935,5.96158,6.45408,6.38741,6.75302,7.07359,5.99988,7.02689,6.06394,0.368333,0.362196,0.441694,0.378832,0.475103,0.31578,0.286639,0.384791,0.255562,0.31826,0.262834,0.414635,0.260963,0.244887,0.316813,0.225293,0.390334,0.261433,0.262258,0.292501,0.227494,0.291089,0.221218,0.298933,28.4801,18.2507,22.6943,22.1489,22.1067,23.457,52.9439,5.04493,3.98057,4.39234,4.26378,3.91513,3.63209,4.77006,1924.48,727.162,1935.43,329.066,3847.1,1126.2,0.0977183,0.0601854,0.120946,0.0671068,99.384,Folk,training
203,-267.049,123.497,2.18952,12.9401,-19.1781,-17.8032,-21.0624,-14.292,-23.1504,-13.2844,-18.2559,-13.5532,-2.68955,2.88311,2.65911,2.76503,-1.69066,-2.11688,-0.32504,1.90211,76.8146,26.0749,15.6038,13.3462,10.2256,11.1574,10.273,9.76048,10.164,9.40004,10.5739,9.59786,11.6723,13.0441,12.4811,14.131,11.0925,10.0149,9.92493,12.1274,0.156838,0.263742,0.1861,0.166261,0.208606,0.114873,0.216748,0.0582396,0.105847,0.41924,0.160713,0.215483,0.233738,0.335631,0.281016,0.25677,0.329482,0.136731,0.356162,0.0972314,0.124401,0.440583,0.160641,0.338187,18.3692,20.6423,25.788,25.4145,24.1839,22.3074,49.5536,5.39254,6.10932,5.94833,5.99624,4.86225,3.92406,3.98404,1353.37,529.409,1728.1,457.109,2458.71,1384.16,0.0525888,0.0170417,0.0877184,0.0398272,123.047,Folk,training
204,-163.85,121.321,-15.0358,17.0129,7.45029,0.21133,-14.1271,-9.38069,-15.6819,-5.37933,-15.0672,-2.67405,-12.9303,-7.6122,-2.20336,-9.38719,0.0262663,1.79126,0.203887,-0.488797,70.6296,39.3979,22.5782,15.6866,15.1297,10.6616,11.5218,8.64574,9.23417,10.1771,9.40633,8.08254,8.96716,7.71645,9.22693,10.9445,8.90138,8.77581,10.3508,9.13012,0.147436,0.273171,0.361362,0.184043,0.155456,0.195244,0.488136,0.370401,0.233367,0.345395,0.20235,0.245156,0.16979,0.283568,0.337724,0.199876,0.239893,0.209323,0.37788,0.309431,0.243109,0.360105,0.203482,0.338911,18.1634,19.8136,23.6482,22.458,23.2075,21.135,47.5118,5.97905,4.21516,4.53697,4.17782,4.10345,3.80838,3.29082,1774.4,1007.62,1950.82,485.848,3325.5,1757.36,0.0807812,0.0742506,0.117231,0.0427765,107.666,Folk,training
207,-371.118,101.041,1.81387,10.0124,-7.31792,-8.98613,-9.46276,-5.6864,-7.51603,-3.40865,-2.35024,-4.05012,-4.09544,-5.41249,-7.042,-4.96399,-5.40617,-5.9388,-8.30768,-4.80556,115.565,46.2683,27.3457,18.7342,15.6391,10.8033,12.091,9.64744,10.4105,8.62878,10.4137,12.0209,10.198,10.6949,13.9959,13.013,12.063,14.3967,14.8157,13.9722,0.266148,0.17975,0.209926,0.15384,0.247497,0.200925,0.148222,0.216994,0.117901,0.168003,0.188214,0.402798,0.310019,0.267342,0.318862,0.192821,0.345044,0.295121,0.192223,0.345299,0.158148,0.279575,0.220323,0.420845,21.4444,18.9284,25.7462,27.4833,26.4908,24.6602,50.4668,6.69765,6.95361,5.50437,4.68301,4.68281,4.97719,5.16932,1248.13,589.667,1483.84,542.937,2241.19,1461.08,0.0611974,0.0329806,0.0476692,0.0508131,123.047,Folk,training
210,-104.014,109.03,-30.9431,18.3037,-5.62553,-0.949408,-13.3243,-0.601282,-17.1369,-6.01409,-15.0567,-1.76332,-10.4864,-12.8532,-10.1821,-8.31998,-4.69126,-1.65643,-10.3009,-3.28939,42.9792,20.5064,12.7358,12.2176,9.59677,8.09221,10.3114,7.54186,8.0675,8.61868,8.08947,7.56855,7.37856,7.0306,8.61126,6.41102,6.05678,6.47694,7.00621,8.41642,0.231887,0.518095,0.468634,0.243487,0.341322,0.239242,0.416864,0.282497,0.282454,0.3986,0.196548,0.234034,0.187214,0.352159,0.325251,0.2026,0.321876,0.210559,0.361114,0.277302,0.234694,0.317212,0.157791,0.258787,28.6384,19.2711,23.1572,22.5457,22.0055,21.8522,50.9483,5.21164,4.57839,4.74055,3.59212,3.34857,2.76009,3.18686,1828.72,439.258,1983.9,275.959,3574.65,951.343,0.0850996,0.0292928,0.146525,0.0830618,95.7031,Folk,training
211,-129.223,126.047,-34.6852,22.8367,-13.0584,-5.24688,-15.888,-10.4388,-21.008,-11.1842,-14.3096,-7.13999,-8.39619,-10.0664,-5.1739,-6.77907,-6.82268,-2.85985,-4.01802,-3.28031,57.1883,21.1608,15.7832,13.0161,11.6075,9.35624,9.00136,8.32899,10.2774,8.67779,7.62909,6.79908,9.00882,8.00874,9.03705,9.50569,7.74049,7.11441,8.62758,6.44655,0.230963,0.294275,0.531955,0.232752,0.24237,0.283708,0.497629,0.331044,0.203131,0.258217,0.144241,0.308342,0.250005,0.251709,0.36513,0.180023,0.295349,0.263527,0.338342,0.294305,0.206783,0.255236,0.115318,0.327633,25.2818,19.7451,23.573,23.5824,22.5621,22.6779,50.2653,5.24394,4.31211,4.92832,4.72638,4.03268,3.29268,3.8516,1599.65,431.152,1749.03,346.417,3102.52,866.015,0.0787177,0.0245536,0.138304,0.0633527,99.384,Folk,training
212,-110.09,102.704,11.4407,15.5484,12.661,2.73697,-0.521578,1.52502,-9.2239,-0.806442,-4.04499,2.23744,-1.96798,-0.553387,1.04196,2.16017,-1.3116,3.46016,1.30948,2.53912,51.1684,29.3089,21.9931,15.6117,14.7513,9.56743,9.33338,7.94954,8.73333,7.89934,6.55738,6.45401,7.97554,6.7025,7.27786,7.36513,6.9845,6.51349,7.41359,6.6062,0.270074,0.326883,0.537318,0.260203,0.269096,0.304287,0.500829,0.393688,0.267812,0.312077,0.19821,0.356189,0.245356,0.243747,0.346002,0.184847,0.289116,0.259441,0.323788,0.305718,0.222582,0.283029,0.14487,0.3109,17.9722,16.1132,21.0876,21.1852,20.6804,19.839,48.6883,3.95072,3.8926,4.56168,4.24885,3.37641,3.19983,2.95534,2363.47,904.048,2662.04,632.763,5369.95,2246.46,0.107206,0.0603563,0.111205,0.0421729,99.384,Folk,training
213,-263.865,160.129,0.755622,14.8095,12.2577,-9.2004,-10.5426,0.717018,-7.99338,-9.5416,-11.4435,-5.59419,-4.26834,-11.3512,-18.3067,-2.78716,-4.68344,1.17976,4.61419,-3.76616,73.3158,37.2627,22.8274,15.238,9.35578,10.2551,7.19257,10.5329,8.78757,8.01395,8.20189,6.91177,6.65172,7.90516,7.40317,5.98819,6.47504,7.52956,8.43623,7.81026,0.119155,0.180442,0.318372,0.0971603,0.0723133,0.22775,0.679797,0.193612,0.283773,0.657572,0.263471,0.289059,0.127933,0.174154,0.282785,0.0932839,0.106861,0.142322,0.344586,0.119183,0.235599,0.316209,0.166597,0.375652,26.6224,18.4394,22.288,26.1201,25.4893,23.128,47.7797,4.90757,3.73457,3.74903,3.48277,3.64085,4.00018,3.15393,1136.23,633.589,1457.03,644.336,2123.56,1513.08,0.0541224,0.0264585,0.0682507,0.0381278,143.555,Pop,training
255,-136.944,163.624,-20.8202,17.8449,-10.6969,12.2966,-9.26562,-0.580915,-7.88937,-1.85189,-2.67452,-2.89148,-4.56988,-0.894996,-4.67317,-1.41732,-7.49893,-2.9605,-8.6432,-3.18124,69.3145,35.4763,23.5426,11.3472,9.69715,6.77404,7.62287,6.83357,9.7544,6.37419,6.26108,6.91673,7.08878,6.39638,6.56097,6.89598,6.38486,6.65061,6.20228,5.67606,0.265597,0.436229,0.522771,0.337196,0.347375,0.278975,0.353007,0.277028,0.364501,0.680104,0.4211,0.376875,0.237649,0.277814,0.323317,0.236992,0.282681,0.222405,0.275933,0.235074,0.218703,0.340773,0.211501,0.310754,26.1313,14.4319,18.3646,18.7909,18.7222,17.7175,49.8274,5.83422,3.89902,4.81263,3.69447,2.71327,2.25026,3.30225,1258.39,422.639,1527.6,415.51,2341.87,1107.58,0.0602833,0.0190961,0.143424,0.0445421,123.047,Rock,training
256,30.1667,99.974,-33.6248,34.1602,3.05588,4.24995,-1.84106,8.91997,2.15897,3.18048,-0.384534,4.82591,1.95902,2.74316,-1.70341,-0.116329,-7.1674,-1.6819,-3.87215,-1.60849,19.7996,14.2183,12.3248,9.86086,8.28983,6.60055,8.38567,6.04005,5.28672,6.26356,6.27112,5.14733,5.21463,4.90666,4.94714,5.09559,4.61335,4.92697,4.21088,5.43871,0.49569,0.574614,0.630073,0.570392,0.516013,0.454885,0.504911,0.547805,0.545222,0.608609,0.649562,0.509899,0.234042,0.240493,0.255425,0.236133,0.231407,0.224203,0.218094,0.25195,0.232322,0.251938,0.259503,0.224303,19.6632,13.3594,14.6458,14.5005,15.0322,17.2458,46.8001,3.29529,3.42731,3.44757,2.50439,1.98808,1.85965,3.0821,2203.57,327.271,2157.57,261.913,4255.88,797.729,0.11583,0.0240491,0.287534,0.0370079,123.047,Rock,training
368,-255.663,116.205,46.2565,17.7256,21.0966,20.0324,-1.42492,13.1218,0.33295,2.49407,2.85185,8.91048,-1.62841,3.85572,-3.12066,-0.252416,-5.33751,-0.337814,-6.3577,-1.3939,57.8753,39.6822,33.9876,17.6387,11.4655,10.5807,10.517,6.75856,6.97627,6.93206,6.35587,6.53234,5.96082,6.54838,6.30745,5.47955,5.32663,5.77221,5.90682,6.2617,0.239496,0.231539,0.40369,0.54242,0.827937,0.628865,0.351925,0.253126,0.222731,0.19927,0.185193,0.265273,0.2398,0.195869,0.269787,0.223355,0.3199,0.275144,0.22449,0.241858,0.205758,0.207791,0.162244,0.217929,25.8833,15.8215,18.5412,18.9267,20.081,17.7233,47.5526,5.55823,4.48989,4.63669,3.97738,3.50767,2.56157,3.41126,1532.07,865.63,2344.95,526.485,3206.98,2353.83,0.0467812,0.0681158,0.0758295,0.0239537,135.999,Rock,training
424,-102.962,124.528,-57.4326,46.5241,-21.0595,-1.97202,-20.8889,-5.99441,-21.2619,-4.66581,-3.99994,-0.562663,-14.0138,1.39571,-5.65071,-7.79971,-9.10172,-5.50087,-9.77882,-1.42485,44.2388,10.5328,14.8288,15.3989,12.0881,6.99067,12.5399,10.3786,11.3187,10.0032,9.5878,5.63552,6.51421,6.6494,6.56751,6.5237,6.474,6.56112,6.29998,8.79193,0.20336,0.180927,0.228676,0.722093,0.675153,0.281208,0.26317,0.216145,0.442414,0.287003,0.314153,0.535909,0.125785,0.177466,0.119014,0.285306,0.280279,0.176217,0.20152,0.134092,0.290444,0.230728,0.214468,0.340014,20.504,15.0625,19.1737,18.0806,21.3831,21.9171,54.3819,5.06866,3.58877,3.61847,3.4214,2.95207,1.8114,3.26702,1854.41,149.978,1640.86,145.025,3411.39,335.068,0.120319,0.0190317,0.133723,0.0566447,99.384,Experimental,training
459,5.8776,109.182,-3.2875,26.0449,12.1644,13.3301,0.874344,12.6287,1.26769,7.2352,-3.15423,3.87536,-0.339389,3.16744,-0.797575,1.35015,-2.31212,1.47543,-2.39863,2.60283,28.1001,24.5284,14.3365,7.44754,7.59471,6.76837,6.13569,7.19512,6.16439,4.64403,5.11726,4.01228,4.20451,4.44402,5.48852,4.58816,4.212,4.20386,4.15075,4.06858,0.301776,0.445909,0.862339,0.554546,0.327545,0.361642,0.466423,0.46218,0.29449,0.407846,0.30507,0.496597,0.120487,0.165577,0.217374,0.191202,0.175985,0.232802,0.257529,0.295667,0.177748,0.245523,0.137616,0.297098,20.2475,15.5151,18.354,19.1828,19.1102,16.0848,46.5891,5.00202,3.98241,4.05522,3.12753,2.69397,2.11454,2.62058,1959.66,565.654,2375.5,441.406,4417.87,1558.31,0.0637763,0.0234732,0.368799,0.0456918,95.7031,Rock,validation
534,-259.694,150.064,34.3083,54.3942,-13.1928,3.89039,11.9288,-16.3443,-5.83525,-0.305136,-5.33771,-4.88852,-7.88069,4.90498,-1.68712,0.572877,-1.6916,-3.30999,-3.07713,-0.00547841,50.3796,21.1945,22.5344,10.612,11.1026,10.7719,9.05666,6.98649,10.7781,8.20259,6.68339,8.86334,6.88206,5.82346,6.15977,6.81928,6.21418,5.83095,7.25746,6.47338,0.194192,0.139225,0.260277,0.479739,0.228655,0.186293,0.17353,0.292833,0.387467,0.390889,0.50887,0.270382,0.241092,0.171722,0.22679,0.379045,0.22378,0.257778,0.20033,0.299263,0.352443,0.278116,0.38256,0.248422,15.5203,16.3948,21.0748,18.7199,17.5896,21.6139,46.2194,4.53867,4.5752,4.35961,3.66698,3.18484,4.46379,2.28316,1014.02,425.379,1602.2,280.897,1799.31,1157.82,0.0406953,0.0288562,0.0878553,0.0525726,151.999,Folk,training
540,-205.559,137.505,-3.9164,55.9065,-7.89237,-1.68494,13.0094,-10.7196,-16.9603,-1.04305,1.78695,-2.30918,-10.6529,-1.18909,-10.6287,-2.26009,-5.7877,-1.59949,0.0744521,0.132075,62.7554,23.9446,24.8738,13.5555,13.0345,11.3628,10.1936,8.61393,10.3603,10.0875,9.65494,8.70311,7.21058,7.39939,7.36735,7.30535,6.7371,6.1506,6.32677,7.07959,0.196291,0.182379,0.179011,0.316296,0.172747,0.205991,0.180079,0.40954,0.75441,0.335042,0.137569,0.133909,0.235425,0.248516,0.182018,0.326689,0.188223,0.294739,0.197973,0.259632,0.334312,0.228723,0.187724,0.190105,15.1666,16.0232,21.3375,18.604,18.945,24.087,46.6477,4.76595,3.80515,4.41446,3.62429,3.45524,4.5394,2.81634,1388.8,465.542,1708.06,281.494,2932.09,950.773,0.0612621,0.0355601,0.0933918,0.03897,143.555,Folk,training
546,-224.287,149.191,-0.550052,52.6779,-15.6478,-3.64906,18.5133,-5.94993,-14.1835,-1.27378,-4.26052,5.30492,-13.161,-2.4301,-4.57112,-6.0532,0.560729,-3.19922,1.76669,-1.50988,66.906,28.311,20.8502,15.2813,14.6064,12.1479,11.331,9.01605,8.71072,8.68676,7.78813,8.27569,7.61842,8.08631,6.7916,6.02533,6.93727,6.05784,6.00269,6.30939,0.204206,0.187069,0.296508,0.355285,0.228583,0.278421,0.43518,0.461561,0.344425,0.260918,0.209845,0.204168,0.252598,0.200138,0.302064,0.385758,0.240614,0.266404,0.345549,0.343998,0.331954,0.274849,0.249222,0.266352,14.7914,15.9714,19.0104,18.8511,18.3208,27.6193,46.6491,4.66421,4.27918,4.48187,4.32991,3.02154,6.35884,2.35763,1267.09,486.92,1600.95,299.196,2569.07,1102.44,0.0567756,0.0362803,0.085481,0.039224,103.359,Folk,training
